radlex_code,preferred_description
RID45899,PatientOut
RID39676,proximal epiphysis of left radius
RID27434,t6 segment of right ventral gray column of spinal cord
RID41178,tendon of right tibialis posterior
RID35938,branch of superficial temporal artery
RID29226,Bennett fracture
RID34341,diffuse enhancement
RID47585,posterior cord segment of C6 root of right superior subscapular nerve
RID37658,multiform layer of left Brodmann area 46
RID34572,thoracic vertebral column
RID43882,proximal tendon of left rhomboid minor
RID10013,levator veli palatini muscle
RID49283,zone of lateral condyle of femur
RID47009,radial nerve component of trunk of right eighth cervical nerve
RID27524,left lateral gray column of spinal cord
RID30871,epithelium of crypt of Lieberkuhn of appendix
RID19007,posterior rootlet of fourth thoracic nerve
RID13336,tendon of flexor digitorum profundus muscle to ring finger
RID47268,proximal segment of T1 root of right median nerve
RID43054,right rhomboid major
RID19351,neuroglial network of sacral subsegment of spinal cord
RID15214,right ulnar collateral nerve
RID49898,positive
RID29958,left lateral pectoral region
RID50507,TR4
RID17642,right tectobulbar tract
RID211,cortex of kidney
RID2112,pronator tuberosity
RID2113,styloid process of radius
RID2114,dorsal tubercle of radius
RID2117,scaphoid fossa of radius
RID2115,sigmoid notch of radius
RID2119,ulna
RID2118,lunate fossa of radius
RID2110,radial tuberosity
RID26115,brodmann area 25 of anterior cingulate gyrus
RID40825,belly of acromial part of right deltoid
RID42325,deep head of right flexor pollicis brevis
RID10287,vestibular lip of spiral limbus
RID31198,parietal peritoneum of left lower quadrant of abdomen
RID15919,neural tissue of oculomotor nerve
RID17335,segment of white matter of spinal cord
RID27376,s5 segment of dorsal gray column of spinal cord
RID38342,medial branch of dorsal branch of left second lumbar artery
RID14122,left inferior colliculus
RID16783,neural network of bony part of fourth metatarsal bone
RID37256,internal pyramidal layer of left Brodmann area 25
RID33846,sulcal segment of right anterior transverse gyrus
RID26659,band of Giacomini
RID21358,trunk of right masseteric nerve proper
RID16799,neural network of female pelvic compartment
RID23214,c8 branch to right scalenus medius
RID47534,thoracodorsal nerve component of inferior trunk segment of right eighth cervical nerve
RID47164,root trunk of inferior division of lateral root of median nerve
RID32532,promontory lymphatic vessel
RID779,posterior inferior cerebellar artery
RID39257,tumor invasion of adjacent structure
RID27506,lateral segment of left ventral gray column of spinal cord
RID21436,trunk of occipital branch of posterior auricular nerve
RID35834,superior segmental artery
RID15613,superficial gray layer of right superior colliculus
RID26081,brodmann area 23 of left posterior cingulate gyrus
RID372,head of epididymis
RID3725,tuberculous spondylitis
RID33022,content of abdomen
RID41314,tendon of right gluteus maximus
RID20418,occipital pole
RID40317,muscle body of abductor pollicis brevis
RID45540,c5 root of left suprascapular nerve
RID39542,transrectal
RID48504,articular cartilage of groove of femoral trochlea
RID35612,target sign of colon
RID36639,left lateral hypothalamic region
RID16571,neural network of abdomen
RID11168,laryngeal
RID36533,hypothalamic branch of right posterior communicating artery
RID24222,medial cutaneous branch of medial branch of posterior ramus of right twelfth thoracic nerve
RID48357,distal tendon of right adductor magnus
RID17741,c2 segment of right lateral corticospinal tract
RID22556,trunk of branch of deep fibular nerve
RID24818,t6 branch to iliocostalis thoracis
RID15631,striatal cell bridge
RID16399,set of laryngopharyngeal branches of superior cervical ganglion
RID13862,right frontal lobe
RID49135,non-articular part of left patella
RID47357,inferior anterior division segment of C8 root of ulnar nerve
RID43297,set of perilesional vessels
RID11280,noisy image
RID38755,4-dimensional CT
RID21402,trunk of inferior alveolar nerve
RID29138,mallet finger
RID11293,undercollimation
RID46541,c8 ventral column nucleus of right thoracodorsal nerve
RID31343,set of proximal superior mesenteric lymphatic vessels
RID38290,right colic vein
RID27896,upper branch of right internal laryngeal nerve to mucosa of pharynx
RID37481,internal granular layer of left Brodmann area 37
RID44484,trunk of left lateral thoracic artery
RID22136,trunk of internal oblique branch of hypogastric branch of iliohypogastric nerve
RID24092,medial branch of posterior ramus of right first lumbar nerve
RID16534,neural network of right temporal part of head
RID39185,venous thrombosis
RID40130,inferior part proper of body of right scapula
RID42903,distal metaphysis of proximal phalanx of ring finger
RID14451,nerve to frontalis
RID20378,gray matter of left posterior cingulate gyrus
RID44626,radicular branch of vertebral artery
RID21786,trunk of meningeal branch of hypoglossal nerve
RID37078,external pyramidal layer of right Brodmann area 16
RID50674,local extent of disease
RID15224,posterior muscular branch of left radial nerve
RID24868,nerve to right tenth levator costae
RID45790,axillary view
RID18420,central part of somatic nervous system
RID15126,nerve to second palmar interosseous of hand
RID10749,fast-spin echo
RID43452,apical part of peripheral zone of prostate
RID29491,external surface of isthmus of uterus
RID13755,dura mater of root of spinal nerve
RID44982,muscular branch of lateral thoracic artery
RID41539,second distal tendon of right flexor digitorum profundus muscle
RID17916,c4 segment of right posterior spinocerebellar tract
RID35523,sedimentation sign
RID43816,articular branch of right radial nerve to right wrist joint
RID25148,descending branch of meningeal branch of second lumbar nerve
RID23825,gray communicating ramus of right second intercostal nerve
RID47094,lateral root trunk segment of C6 root of right median nerve
RID10312,magnetic resonance imaging
RID15666,dorsal supraoptic decussation
RID50295,PI-RADS Lesion Assessment Category
RID45982,TimeFromStatOrderToAcquistion
RID30038,prepuce of penis
RID30248,set of medullary rays of left kidney
RID19046,posterior rootlet of right fourth lumbar nerve
RID41941,articular cartilage of left acromion
RID46904,segment of root of radial nerve
RID36930,internal granular layer of left Brodmann area 8
RID23899,nerve to left rectus capitis posterior major
RID32054,proximal superior mesenteric lymph node
RID28831,modulus
RID48591,subdivision of skin of lower limb
RID32391,right fourth posterior cervical intertransversarius
RID38308,branch of lumbar artery
RID29913,left areola
RID48966,fibular collateral ligament
RID35356,lumen with a lumen sign
RID36532,hypothalamic branch of posterior communicating artery
RID17213,white matter of lateral part of left superior temporal gyrus
RID32130,intermediate external iliac lymph node
RID27323,t7 segment of dorsal gray column of spinal cord
RID22976,meningeal branch of left fourth cervical nerve
RID39055,breast mass
RID12290,spot image
RID14583,right chorda tympani
RID42711,anterior zone of glenoid labrum
RID12119,facial nerve
RID32479,tenth thoracic rotator
RID25204,branch of anterior cutaneous branch of intercostal nerve
RID45938,SedationEval
RID35301,incomplete ring sign of duodenum
RID38798,ligament of costotransverse joint
RID31540,subserosa of transverse colon
RID31510,subserosa of ampulla of left uterine tube
RID20954,ventral premammillary nucleus
RID36929,internal granular layer of right Brodmann area 8
RID14702,external laryngeal branch to left superior cervical sympathetic ganglion
RID41458,proximal tendon of left brachialis
RID35668,turret exostosis
RID15204,nerve to left extensor digitorum
RID36228,cavernous branch of right internal carotid artery to wall of right cavernous sinus
RID19282,epithelium of choroid plexus of fourth ventricle
RID34580,balloon dilatation attribute
RID10678,T2 star prep
RID27386,cervical segment of ventral gray column of spinal cord
RID16120,vasculature of white matter of S3 segment
RID26880,c3 segment of left substantia gelatinosa
RID264,female urethra
RID2642,articular cartilage of acetabulum
RID2643,articular cartilage of femoral head
RID2644,acetabular labrum
RID2641,articular cartilage of hip joint
RID2649,transverse acetabular ligament
RID2640,hip joint
RID2646,capsule of hip joint
RID2647,zona orbicularis
RID2648,ligament of hip joint
RID17322,right medial pes lemniscus
RID27488,s4 segment of left ventral gray column of spinal cord
RID456,paracardiac lymph node
RID4564,disorder caused by drugs or toxins
RID4560,epithelioid cell synovial sarcoma
RID4562,thecoma
RID4566,alkaline encrustation
RID4561,spindle cell synovial sarcoma
RID4567,caustic-induced disorder
RID4565,alkaline-induced disorder
RID4568,alcohol-induced disorder
RID4569,drug-induced disorder
RID45702,computer-aided detection
RID26427,optic canal part of left optic nerve
RID39896,epiphysis of ulna
RID39419,zone of cochlear part of wall of bony labyrinth
RID44872,sternocleidomastoid muscle branch of right suprascapular artery
RID27398,c3 segment of left ventral gray column of spinal cord
RID46978,radial nerve component of middle trunk segment of right seventh cervical nerve
RID40334,muscle body of abductor digiti minimi of left hand
RID45845,CodeCorrection
RID26420,inferior part of right vestibular nerve
RID22924,posterior ramus of left eleventh thoracic nerve
RID17124,white matter of right inferior parietal lobule
RID29680,distal superior mesenteric lymphatic chain
RID46972,radial nerve component of trunk of anterior ramus of right seventh cervical nerve
RID21087,right abducens nucleus
RID50124,tangential view
RID21919,trunk of left third sacral nerve
RID17904,cervical segment of left posterior spinocerebellar tract
RID25908,brodmann area 50
RID21371,trunk of lateral pterygoid nerve
RID29058,Ahlbäck disease
RID23415,nerve to right fifth internal intercostal muscle
RID20735,right pedunculopontine tegmental nucleus
RID25336,posterior branch of lateral cutaneous branch of subcostal nerve
RID28753,biliary system
RID45309,central segment of right obturator nerve
RID43790,dorsal branch of medial proper palmar digital branch of median nerve to middle finger
RID22909,posterior ramus of left sixth thoracic nerve
RID45282,central segment of right lateral femoral cutaneous nerve
RID26471,orbitofrontal segment of frontal lobe
RID32318,right obliquus capitis inferior
RID18622,anterior root of second cervical nerve
RID35393,naked facet sign
RID34380,no effect of mass on surrounding tissue
RID35342,lemon sign
RID29274,infundibulum of uterine tube
RID29218,membranous layer of organ wall
RID39807,distal epiphysis of proximal phalanx of thumb
RID24790,t4 branch to right iliocostalis cervicis
RID41396,tendon of pyramidalis
RID22949,posterior ramus of right second sacral nerve
RID23169,scalenus medius branch of left fifth cervical nerve
RID10953,ultra-high energy parallel hole collimator
RID26626,polar part of lateral occipital gyrus
RID49736,transjugular
RID18299,superomedial border of cerebral hemisphere
RID23828,gray communicating ramus of right third intercostal nerve
RID37598,internal pyramidal layer of left Brodmann area 43
RID29635,epithelium proper of esophagus
RID30191,surface of back of abdomen
RID40341,muscle body of palmar interosseous of hand
RID28836,idiopathic pulmonary fibrosis
RID48411,distal tendon of right fibularis tertius
RID42597,posterior surface of scalenus medius
RID10508,rolled superior breast view
RID17026,genu of right internal capsule
RID31558,c7 segment of esophagus
RID49446,cavoatrial
RID12003,optic nerve
RID13675,brodmann area 13 of inferior frontal gyrus
RID31721,adventitia of biliary tree
RID13782,region of wall of arachnoid
RID41077,proximal tendon of left subclavius
RID48700,skin of plantar part of little toe
RID47787,segment of C6 root of long thoracic nerve
RID13416,lobular organ component
RID16712,neural network of atrium
